ID,project_name,long_name,url,esa_cci_path,orig_version,vname,time_coverage_start,time_coverage_end,time_coverage_resolution,update avaialble (Nov. 2019),new time_coverage_end,orig_version,new url
8,ESA - Near-real time total ozone column (OMI),Residual MSR-FLT (Stratospheric Part Partial),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_msr_flt,2008-01-05,2011-12-31,P8D,yes,2019-11-05,no,
28,ESA Aerosol CCI,Aerosol optical thickness at 870 nm,http://www.esa-aerosol-cci.org/,/neodc/esacci/aerosol/data/AATSR_SU/L3/v4.21/DAILY/,v4.21,AOD870_mean,2002-07-24,2012-04-10,P8D,yes,2012-04-08,V4.3,
30,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Effective Emissivity at 10.8 um,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cee,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
31,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Effective Radius,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cer,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
32,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud fraction,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cfc,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
33,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Ice Water Path,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,iwp,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
34,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Liquid Water Path,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,lwp,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
35,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Optical Thickness,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cot,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
36,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Top Height,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cth,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
37,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Top Pressure,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,ctp,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
38,ESA Cloud Climate Change Initiative (Cloud_cci),Cloud Top Temperature,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,ctt,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
39,ESA Cloud Climate Change Initiative (Cloud_cci),Fraction of Liquid Water Clouds,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,cph,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
40,ESA Cloud Climate Change Initiative (Cloud_cci),Surface Temperature,http://www.dwd.de,/neodc/esacci/cloud/data/phase-2/L3C/MODIS-TERRA/v2.0/,v2.0,stemp,2000-01-29,2014-12-31,P8D,yes - istead of Modis there is AVHRR,2016-12-30,v3.0,http://www.esa-cloud-cci.org/?q=data_download
41,ESA Greenhouse Gases Climate Change Initiative (GHG_cci),Column Average Dry-air Mole Fraction Carbon Dioxide,http://www.esa-ghg-cci.org/,/neodc/esacci/ghg/data/obs4mips/crdp_3/CO2/v100/,v100,xco2,2003-01-13,2014-12-15,P8D,yes,2017-12-30,unclear,https://cds.climate.copernicus.eu/cdsapp#!/dataset/satellite-carbon-dioxide?tab=overview
42,ESA Greenhouse Gases Climate Change Initiative (GHG_cci),Column Average Dry-air Mole Fraction Methane,http://www.esa-ghg-cci.org/,/neodc/esacci/ghg/data/obs4mips/crdp_3/CO2/v100/,v100,xch4,2003-01-13,2014-12-15,P8D,yes,2017-12-30,unclear,https://cds.climate.copernicus.eu/cdsapp#!/dataset/satellite-methane?tab=overview
44,ESA Sea Surface Temperature Climate Change Initiative (ESA SST CCI),Analysed Sea Surface Temperature,http://www.esa-sst-cci.org,/neodc/esacci/sst/data/lt/Analysis/L4/v01.1/,v01.1,analysed_sst,1991-09-02,2010-12-31,P8D,"not online, there should be something somewhere",,,
45,ESA Sea Surface Temperature Climate Change Initiative (ESA SST CCI),Sea Ice Area Fraction,http://www.esa-sst-cci.org,/neodc/esacci/sst/data/lt/Analysis/L4/v01.1/,v01.1,sea_ice_fraction,1991-09-02,2010-12-31,P8D,"not online, there should be something somewhere",,,
46,ESA Sea Surface Temperature Climate Change Initiative (ESA SST CCI),Sea/Land/Lake/Ice Field Composite Mask,http://www.esa-sst-cci.org,/neodc/esacci/sst/data/lt/Analysis/L4/v01.1/,v01.1,mask,1991-09-02,2010-12-31,P8D,"not online, there should be something somewhere",,,
67,GlobSnow,Daily Snow Water Equivalent,http://www.globsnow.info/,,v2.0,snow_water_equivalent,1980-01-05,2012-12-30,P8D,yes,nrt,nrt,
68,GlobSnow,Surface Fraction Covered by Snow,http://www.globsnow.info/,,v2.0,fractional_snow_cover,2003-01-05,2013-01-05,P8D,yes,nrt,nrt,
71,GPCP,Precipitation,http://precip.gsfc.nasa.gov/,,,precipitation,1980-01-05,2015-01-05,P8D,yes - maybe,,,https://gpm.nasa.gov/data-access/downloads/gpm
78,SoilMoisture CCI,Soil Moisture,http://www.esa-soilmoisture-cci.org,/neodc/esacci/soil_moisture/data/daily_files/COMBINED/v04.2/,v04.2,soil_moisture,1980-01-05,2014-01-29,P8D,yes,2018-12-31,v04.2,


